5.224,9.145,14.39,21.27
5.217,9.866,15.8,21.59
5.221,8.63,13.61,21.29
5.175,64.11,21.95,11.62
5.061,15.48,32.86
5.218,9.216,14.64,21.28
5.228,8.469,13.5,21.47
5.135,13.79,50.64
5.152,99.51,10.97,129.6
5.218,8.597,13.79,21.73
5.103,13.57,16.31,21.72
5.196,112.6,146.4
5.299,21.59,69.77
5.204,9.71,15.44,21.09
5.031,20.54,33.02
5.194,119.2,18.78,12.75
5.024,11.05,27.63
5.169,28.27,36.69
5.152,11.98,25.87
5.232,8.525,13.63,21.54
4.98,46.97,12.67,74.97
5.213,9.256,14.78,21.38
5.216,9.251,27.44,17.77
5.218,9.865,24.41,15.73
5.177,46.17,10.44,59.99
5.227,8.636,13.66,21.27
5.187,76.43,10.64,100.6
5.196,26.47,34.86
5.212,14.47,19.01
5.228,8.648,13.75,21.7
5.223,8.679,13.84,21.38
5.065,12.21,30.71
5.23,8.66,13.84,21.33
5.072,17.06
5.203,14.85,27.66
5.122,13.44,58.27,58.38
5.194,10.82,26.22
5.227,8.789,13.95,21.11
5.072,13.99,31.01
5.206,10.75,14.03,21.6
4.89,23.23
5.223,8.729,13.87,21.38
5.188,174.5,11.7
5.048,18.1,28.68
5.144,14.92,21.66,21.65
5.215,9.243,13.56,21.51
5.213,9.525,15.2,21.22
5.172,46.81,11.49,60.5
5.175,53.52,18.32,12.0
5.212,9.755,15.5,21.18
5.219,10.25,15.57,20.54
5.228,8.739,13.9,21.36
5.185,14.86,18.26,78.89
5.221,9.442,15.03,21.2
5.2,37.44,49.03
5.211,10.12,16.54,24.08
5.214,10.04,16.09,20.92
5.223,8.757,13.97,21.31
5.229,8.656,13.71,21.43
5.03,45.08,14.97,54.69
5.214,8.963,13.42,21.43
5.106,15.39,28.14
5.21,9.059,14.44,21.22
5.214,9.232,14.68,21.76
5.01,25.46,13.15
5.124,28.21,11.87,36.4
4.969,13.75,39.07,314.7
5.029,19.95,106.1
4.967,13.59,37.96
5.204,10.06,13.54,21.59
5.216,9.237,14.65,21.42
5.224,8.973,14.16,21.25
5.228,8.864,14.04,21.31
5.227,8.721,13.8,21.36
5.027,17.04,32.16
5.226,8.63,13.81,21.4
5.226,8.616,13.77,21.32
5.158,17.37,30.6,34.07
5.231,8.525,13.65,21.49
5.23,8.673,13.66,21.54
4.956,18.33,34.98
5.187,14.67,19.21,25.21
5.228,8.681,13.71,21.39
5.214,8.977,14.38,21.57
5.222,9.358,13.55,21.43
5.076,95.54,27.73
5.103,53.68,12.62,17.45
5.057,48.35,47.9,17.9
5.214,15.58,21.82,28.61
5.041,11.75,28520.0,34.89
5.226,8.81,13.83,21.54
5.178,68.42,88.51,10.61
5.231,8.668,13.8,21.52
5.229,8.649,13.78,21.46
5.025,41.6,16.43
5.234,8.527,13.62,21.63
5.226,8.665,13.8,21.33
5.227,8.872,14.02,21.66
5.224,8.734,13.39,21.38
5.028,15.7,28.01
5.213,9.274,14.77,20.46
5.169,23.51,42.15,14.08
5.175,18.88,10.9,24.96
5.228,9.171,14.49,21.49
5.217,9.004,14.35,21.6
4.912,23.0
5.001,19.67,32.53
5.115,16.54,42.33,24.1
5.226,8.814,13.89,21.51
5.137,16.87,21.9,22.38
5.032,16.05,55.54,60.19
5.211,10.12,13.52,21.66
5.225,8.682,13.8,21.41
5.222,9.481,14.99,21.5
5.099,16.69,29.63,90.48
5.093,37.03,11.66,48.27
5.231,8.518,13.45,21.53
5.195,19.98,11.1,26.43
5.191,50.02,61.09,11.92
5.23,8.479,13.54,21.27
5.11,14.17,1127.0,43.18
5.224,8.563,13.57,21.42
4.903,16.4,32.01
5.194,32.15,41.91
5.221,8.75,14.01,21.37
5.221,9.039,13.54,21.47
5.227,8.71,13.78,21.4
5.076,67.23,87.93,11.54
5.15,33.29,46.65
5.048,18.45,10.49,24.44
5.23,8.629,13.71,21.63
5.017,20.23,47.47
5.192,95.39,28.65,17.98
5.217,10.42,13.82,20.67
5.011,34.55,22.91
5.115,50.07,12.69,66.38
5.226,9.268,14.61,21.68
5.042,15.83,11.36,25.16
5.225,9.059,14.46,21.59
5.179,71.38,94.5,11.11
5.153,28.43,55.89,14.57
5.207,35.28,13.02,15.98
5.218,8.794,13.94,21.26
5.02,54.83,71.66
5.216,8.979,14.3,21.32
5.113,35.41,10.2,45.7
5.229,8.67,13.73,21.39
5.203,56.18,10.75,111.1
5.195,11.49,28.41,19.45
5.072,21.33,1382.0
5.152,32.91,11.15,46.21
5.07,18.42,12.2,23.27
5.115,42.37,12.24,56.16
5.215,9.786,25.18
5.231,8.774,13.96,21.35
5.048,13.22,35.64
4.894,19.1
5.219,8.743,13.44,21.55
5.136,17.51,39.44,56.42
5.216,8.87,14.13,21.31
5.083,47.72,62.28,9.524
5.015,46.17,18.12
5.196,23.35,15.59,28.41
5.23,8.543,13.64,21.76
5.22,8.69,13.82,21.34
5.213,8.924,14.07,22.55
5.044,11.3,39.01,35.94
5.226,8.672,13.86,21.38
5.212,9.185,14.6,21.4
5.223,8.707,13.82,21.43
5.208,20.25,30.61,14.43
5.186,68.83,18.45,85.34
5.189,19.24,10.86,25.3
5.192,14.37,55.56
5.064,14.11,24.2
5.233,8.635,13.63,21.3
5.178,18.17,47.73
5.231,8.945,14.22,21.64
5.219,9.026,14.43,21.47
5.231,8.84,14.1,21.41
5.227,8.827,14.11,21.41
5.118,16.59,26.32
5.178,34.56,10.34,45.69
5.196,25.86,33.51
5.228,8.75,13.94,21.26
5.228,8.632,13.73,21.43
5.01,52.73,12.41,69.23
5.056,17.0,51.01
5.232,8.781,13.86,21.65
5.17,30.8,40.81,11.27
5.228,8.564,13.6,21.59
5.155,29.34,11.95,143.8
5.091,21.25,27.59,66.21
5.2,12.47,28.81,27.48
5.139,10.32,16.47,21.7
5.232,8.628,13.79,21.57
5.155,63.89,8.575,101.8
5.227,8.71,13.85,21.5
5.203,12.62,38.41,22.01
5.19,59.73,11.45,78.34
5.028,19.95,60.48
5.158,55.95,16.06,19.21
5.219,9.423,13.64,21.33
5.203,10.94,297.0,43.7
5.076,28.8,17.87,46.99
5.057,66.67,107.6,136.2
5.227,8.586,13.6,21.7
5.213,9.028,13.4,21.32
5.201,10.42,18.74,27.91
5.206,29.78,9.949,47.26
5.175,14.63,36.18,50.93
5.142,13.52,66.59
4.983,11.89,34.44
5.212,9.4,13.39,21.43
5.225,8.887,14.19,21.54
5.214,12.73,20.19,30.33
5.219,9.217,14.46,21.51
5.214,8.729,13.6,21.36
5.213,9.468,15.09,21.26
5.23,8.808,13.99,22.27
5.214,19.19,9.95,30.19
5.194,42.9,12.0,17.52
5.158,23.31,32.68,12.11
5.209,8.984,14.2,21.41
5.199,55.23,87.04,12.08
5.195,11.56,30.92,34.66
5.055,16.31,40.46,11.48
5.161,13.58,41.27,32.6
5.212,10.55,13.79,21.73
5.052,15.44,700.5
5.179,14.39,39.52
5.054,16.76,31.73
5.202,16.43,25.85,25.78
5.221,10.08,119.4,52.51
5.03,21.75,45.09
5.219,9.087,13.45,21.65
5.206,10.52,13.81,21.36
5.206,10.72,14.14,21.31
5.212,9.671,19.11
5.223,8.934,14.15,21.29
5.228,8.563,13.67,21.73
5.189,14.72,22.95
4.966,16.57,160.2
4.99,11.24,28.28
5.003,20.51,27.03
5.169,15.87,48.41,34.63
5.219,9.276,13.36,21.46
4.995,35.14,42.48,55.44
5.148,20.31,11.47,72.19
5.199,11.04,65.82,24.91
5.233,8.532,13.51,21.53
5.201,9.241,14.75,21.16
5.217,9.117,14.43,21.4
5.111,16.99,95.54,34.69
5.225,8.677,13.79,21.31
5.019,17.98,28.45
4.983,22.86,51.85
5.213,9.798,13.57,21.48
5.206,13.13,21.05,22.64
5.22,10.11,13.41,21.51
5.186,44.41,70.11
5.232,8.679,13.79,21.55
5.031,88.93,15.78
5.062,12.34,26.37
5.175,55.38,54.9,14.57
5.06,19.49,33.83
5.182,31.48,8.194,41.51
5.225,8.73,13.92,21.39
5.229,8.649,13.81,21.44
5.203,11.33,17.6,24.73
5.226,8.616,13.73,21.45
5.197,73.67,83.96,14.73
5.028,14.31,23.58
5.234,8.522,13.42,21.63
5.138,95.14,11.06,126.2
5.202,63.13,11.08,89.17
5.193,35.55,11.27,46.63
5.196,16.74,13.77,42.38
5.22,9.683,15.46,21.79
5.232,8.612,13.75,21.59
5.028,16.92,32.62
5.031,13.89,29.01
5.225,10.36,13.57,21.57
5.198,11.0,24.44,22.43
5.204,128.5,15.51,12.53
5.085,23.74,31.65,13.6
5.224,8.771,14.03,21.37
5.136,30.1,63.49,19.53
4.888,19.88
5.155,46.59,60.96
4.918,21.14,59.33
5.054,50.71,70.98
5.228,8.557,13.52,21.65
5.146,17.56,73.65,41.67
5.145,10.72,366.5,25.18
5.195,10.61,25.57,17.25
5.111,17.19,17.17,164.7
5.227,8.553,13.69,21.62
5.223,9.467,15.0,21.91
5.174,10.49,13.77,30.29
4.953,11.55,93.0,32.95
5.041,63.76,19.72
5.225,8.586,13.65,21.44
5.231,8.707,13.89,21.4
5.199,21.79,13.11,32.41
5.222,8.658,13.85,21.29
5.157,38.38,53.47
5.199,11.94,19.18
5.217,13.03,15.87,20.98
5.222,8.682,13.81,21.33
5.111,12.68,27.91
5.003,14.17,27.41
4.836,21.63
5.168,85.12,13.72,110.8
5.171,29.08,19.2,12.63
4.925,19.65,2118.0
5.173,173.3,11.86,230.2
5.227,9.157,14.6,21.5
5.228,8.743,13.46,21.38
5.219,8.589,13.53,21.89
5.21,10.43,13.8,21.48
5.18,21.39,34.07
5.196,70.98,14.27
5.224,8.98,14.31,21.66
5.214,8.669,13.64,21.67
5.212,9.079,14.31,21.11
5.232,8.67,13.76,21.38
5.196,10.54,18.34,23.24
5.147,24.41,33.21
5.087,45.62,55.42
5.207,9.133,14.59,21.12
5.231,8.602,13.8,21.58
4.883,21.5
5.07,12.34,40.74
5.231,8.69,13.86,21.4
5.231,8.593,13.68,21.78
5.17,9.655,23.62,25.53
5.219,8.97,14.2,21.27
5.126,23.27,69.45,16.38
5.168,10.92,126.6,31.16
5.225,8.825,14.03,21.34
5.143,140.3,14.28,19.41
5.227,8.78,13.86,21.29
5.22,8.745,13.95,20.73
5.225,8.691,13.85,21.37
5.219,9.048,13.44,21.62
4.966,14.14,20.43
4.984,13.31,31.94
5.183,31.35,13.75,40.83
5.202,10.21,13.51,21.67
4.901,13.44,83.76,47.74
5.21,9.626,14.95,21.76
5.197,11.68,25.24,15.49
5.183,174.2,174.8,13.65
4.933,18.63,19.03
4.998,22.09,10.24
5.219,8.919,14.15,21.27
5.232,8.592,13.63,21.83
5.219,8.584,13.61,21.85
5.221,8.698,13.75,21.42
5.221,8.794,13.98,21.29
5.104,11.07,34.46
5.016,35.3,17.66
5.067,12.13,25.41,29.43
5.223,8.863,14.05,21.49
5.069,12.91,19.51,33.44
5.075,22.61,13.22,44.64
5.22,8.77,13.98,21.36
5.197,16.51,31.71,11.66
5.224,8.932,14.1,21.52
5.194,30.31,39.65,11.05
5.217,8.831,13.41,21.38
5.058,19.16,34.2
5.179,13.37,42.4
5.178,35.16,22.53,12.56
5.206,70.6,11.62,93.31
4.987,18.14,24.3
5.179,24.33,10.22,32.07
5.105,76.24,106.9,22.65
5.212,9.667,21.19,16.41
5.078,20.83,63.99
5.228,8.573,13.55,21.55
5.223,9.265,14.7,21.57
5.218,8.716,13.86,21.4
4.899,22.35
5.223,8.833,13.44,21.56
5.152,62.87,100.4
4.974,15.84
4.968,19.41,48.81
5.224,9.881,15.86,20.94
5.016,16.08,57.27,244.3
5.056,11.33,19.09,26.23
5.223,9.118,14.59,21.29
5.162,62.98,22.68,12.87
5.033,20.68,13.58,25.81
5.215,9.165,13.49,21.61
5.217,11.18,25.49,14.87
5.088,33.62,15.22
4.966,97.81,16.9
5.124,56.2,10.11,74.62
5.198,16.15,22.31,11.09
5.077,10.66,23.05,79.43
5.19,9.809,24.33,15.35
5.207,57.42,12.62,16.72
5.198,27.4,11.38,36.3
5.075,57.45,38.72,113.0
5.035,11.89,24.31
5.026,12.83,58.59
5.122,85.09,102.5,10.22
5.166,108.5,15.66,11.93
5.206,9.454,18.52
5.23,8.564,13.61,21.29
5.161,15.98,21.27
5.229,8.726,13.88,21.02
5.198,13.83,9.857,25.96
5.213,8.847,13.94,21.39
5.205,9.585,15.28,21.47
5.219,8.951,14.22,21.25
4.879,14.21,26.18
5.161,14.15,48.27,50.9
5.216,9.357,13.46,21.38
5.193,59.18,14.65,19.02
5.129,10.34,315.5,28.94
5.188,107.3,15.0,38.05
5.11,50.57,26.52,14.31
5.232,8.563,13.52,21.66
5.07,17.25,121.7
5.197,13.72,22.62
5.184,180.2,14.83
5.226,8.778,13.92,21.33
5.225,8.751,13.45,21.41
5.224,9.019,14.33,21.17
5.178,11.21,32.36,34.42
5.228,8.779,14.03,21.44
5.159,119.3,154.1
5.046,16.27,24.49
5.204,11.52,15.18,21.55
5.03,15.15,24.22
5.221,9.338,14.9,21.45
5.223,8.565,13.74,21.54
5.222,8.627,13.44,21.45
5.18,111.3,12.2
5.208,52.76,9.262,69.25
5.224,8.714,13.79,21.52
5.228,8.532,13.7,21.52
4.968,44.59,58.84
5.189,16.64,26.48
5.093,53.59,31.57,19.03
5.181,25.73,33.61
5.028,18.09,54.2
5.213,9.696,17.77,20.01
5.078,32.77,10.4,116.0
5.226,8.696,13.92,21.63
5.217,9.373,14.75,21.69
5.231,8.534,13.48,21.52
5.173,15.01,23.32,10.94
5.221,8.784,13.95,21.55
5.055,33.78,25.96
5.206,9.951,13.45,21.32
5.226,8.786,14.0,21.66
5.21,15.49,20.6
5.226,8.594,13.75,21.37
5.195,14.68,21.84,11.1
5.226,8.791,14.03,21.49
5.227,8.825,14.04,21.65
5.161,30.35,9.551,39.51
5.224,8.906,13.97,21.75
5.225,9.058,14.44,21.49
5.069,19.03,24.88,12.17
5.085,32.6,51.62
5.207,14.25,19.05,18.68
5.224,8.738,13.99,21.59
5.197,11.45,30.26
5.209,9.074,13.48,21.54
5.176,29.25,11.37,43.43
5.21,9.021,14.32,21.43
5.221,9.142,13.43,21.6
5.178,54.92,12.13,28.63
5.232,8.533,13.56,21.55
5.204,31.62,41.68
5.187,13.78,30.87,29.12
5.228,8.636,13.76,21.64
5.209,10.08,13.67,21.57
5.189,43.84,70.06
5.209,9.395,18.41
5.158,18.7,10.64,24.78
5.213,14.23,20.37
5.076,16.67,28.5
5.133,109.8,14.86,145.9
5.05,14.7,364.8
5.225,8.77,13.99,21.24
5.218,9.316,14.76,21.5
5.198,13.18,25.64,28.44
5.218,9.122,14.49,21.39
5.223,8.616,13.69,21.29
5.196,11.66,15.29,21.77
5.226,9.148,14.56,21.53
5.212,9.616,13.47,21.58
